title,publisher,publish_year,language,isbn
Lord of the Rings Film Facts : Everything for the Lord of the Rings Fans,['Independently Published'],[2021],['eng'],['9798481503844']
The Lord of the Rings,['Games Workshop'],[2001],,['5011921951246']
The Lord of the Rings,['SparkNotes'],[2002],['eng'],"['9781586637903', '1586637908']"
The Fellowship of the Ring Visual Companion (The Lord of The Rings),['HarperCollins Entertainment'],[2001],,"['0007116241', '9780007116249']"
"The "" Lord of the Rings "" Jigsaw Book",['The Five Mile Press'],[2002],,"['1865035955', '9781865035956']"
"The Lord of the Rings, Part 1","['Brand: HighBridge Company', 'Highbridge Audio']",[2002],,"['9781565116672', '1565116674']"
The Fellowship of the Ring Journal (The Lord of the Rings),['Cedco Publishing Company'],[2001],['eng'],"['9780768325225', '0768325226']"
Lord of the Rings,['Center for Learning'],[2004],['eng'],"['9781560771371', '1560771372']"
Lords of the Ring,['Penguin Random House'],[1999],['eng'],"['0749308958', '9780749308957']"
Lord of the rings,['CHARISMA [CAS1059.'],,['eng'],
Lords of the ring,['Cassell Australia'],[1980],,"['9780726913952', '0726913952']"
Lord of the Ring's,['Independently Published'],[2021],['eng'],['9798460894079']
Lord of the Rings,['MSI MUSIC'],[2002],,"['9786307245993', '6307245999']"
Lord of the rings,,,,
Lord of the Rings,,,,"['0089752007', '9780089752007']"
Lord of the Rings,['HarperCollins Publishers Limited'],[2024],['eng'],"['0008669430', '9780008669430']"
Lord of the Rings--War of the Ring - Expansion #1,['Prima Publishing'],[2004],,"['9780761545699', '0761545697']"
The Lord of the Rings,['Unwin'],[1978],,"['9780048231352', '0048231355']"
"The Art of the ""Fellowship of the Ring"" (""Lord of the Rings"")",['HarperCollins Publishers Ltd'],[2002],,"['9780007135639', '0007135637']"
The lords of the rings,"['Simon & Schuster, Limited', 'Stoddart Pub. Co.']",[1992],['eng'],"['9780671712259', '067171225X', '0671711229', '9780671711221']"
Lords of the Ring,['Hamlyn'],[1998],,"['9780600595205', '060059520X']"
The Lord Of The Rings Part One,['BBC Books'],[2001],,"['9780563536550', '0563536551']"
Lord of the Rings Instrumental Solos,['Warner Bros. Publications'],[2004],['eng'],"['0757916597', '0757923240', '9780757923241', '9780757916595', '9780757916588', '0757916589', '0757916570', '9780757916571', '9780757923258', '0757923259']"
The Lord of the Rings,"['Uitgeverij M', 'Houghton Mifflin Company']",[2002],"['dut', 'eng']","['0618260226', '0618258000', '9789022533956', '9780618258000', '9780618260225', '9022533956']"
Poems from The lord of the rings,"['Mladá fronta', 'HarperCollins Publishers Ltd', 'HarperCollins']","[2001, 2002, 1994]",['eng'],"['9788020408891', '9780261103122', '0261103121', '8020408894']"
Lord of the Rings the Fellowship of the Ring Sheet Music Piano,['Independently Published'],[2022],['eng'],['9798839076808']
"The Art of the ""Lord of the Rings"" Trilogy (""Lord of the Rings"")",['HarperCollins Publishers Ltd'],[2004],,"['0007191928', '9780007191925']"
